customer_id,signup_date,region,industry,company_size,plan_tier,contract_type,mrr,discount_pct,tenure_months,logins_last_30_days,last_login_days_ago,feature_adoption_pct,support_tickets_last_90d,avg_ticket_resolution_hrs,payment_failures_last_12mo,nps_score,csat_score,upsell_count,churn_flag,churn_date,churn_reason
CUST-100000,2025-10-24,North America,Technology,Large (500+),Basic,Monthly,134.55,10.0,8,4,27,32.7,2,15.4,1,7,2.5,0,0,,
CUST-100001,2026-06-29,LATAM,Financial Services,Small (1-50),Enterprise,Monthly,553.24,10.0,0,3,31,8.4,3,38.1,0,5,3.6,1,0,,
CUST-100002,2025-03-12,Europe,Technology,Small (1-50),Pro,Monthly,89.9,0.0,15,3,24,30.7,0,6.7,1,10,4.1,1,0,,
CUST-100003,2026-03-23,North America,Financial Services,Small (1-50),Pro,Monthly,125.59,0.0,3,9,22,40.3,4,25.9,0,7,2.1,0,0,,
CUST-100004,2025-12-22,Europe,Retail/E-commerce,Small (1-50),Basic,Monthly,48.18,5.0,6,6,23,32.0,1,14.5,0,6,3.5,1,0,,
CUST-100005,2026-03-19,Europe,Healthcare,Medium (51-500),Basic,Annual,71.24,17.2,3,6,23,41.0,1,10.2,0,6,4.0,0,0,,
CUST-100006,2024-09-19,North America,Education,Small (1-50),Basic,Monthly,45.38,5.0,21,20,29,53.4,3,36.1,0,6,3.9,2,0,,
CUST-100007,2025-06-03,North America,Education,Medium (51-500),Enterprise,Annual,886.43,11.7,12,7,21,46.5,1,4.1,0,10,3.9,0,0,,
CUST-100008,2026-03-07,North America,Technology,Small (1-50),Pro,Monthly,131.02,0.0,3,23,21,40.7,0,15.2,0,8,4.0,0,0,,
CUST-100009,2026-03-20,North America,Media/Entertainment,Medium (51-500),Pro,Monthly,319.82,0.0,3,11,24,46.7,2,14.0,1,3,2.5,0,0,,
CUST-100010,2026-02-12,North America,Financial Services,Small (1-50),Basic,Monthly,44.81,0.0,4,5,23,33.0,2,27.2,1,8,3.4,0,0,,
CUST-100011,2022-07-04,North America,Manufacturing,Medium (51-500),Enterprise,Annual,607.13,15.4,47,18,7,100.0,1,8.9,0,10,5.0,6,0,,
CUST-100012,2025-08-29,North America,Healthcare,Medium (51-500),Pro,Monthly,348.65,0.0,10,7,29,17.5,3,27.2,0,6,3.9,2,0,,
CUST-100013,2022-12-19,North America,Financial Services,Small (1-50),Basic,Monthly,47.89,0.0,42,19,12,80.4,2,22.4,0,8,3.4,0,0,,
CUST-100014,2022-07-05,LATAM,Education,Small (1-50),Basic,Annual,47.37,19.5,47,16,11,89.2,2,10.8,1,7,4.3,0,0,,
CUST-100015,2025-07-27,Europe,Technology,Small (1-50),Basic,Monthly,43.61,0.0,11,20,23,57.8,3,48.6,0,5,3.5,0,0,,
CUST-100016,2026-05-13,North America,Technology,Large (500+),Basic,Monthly,133.89,0.0,1,5,25,33.4,2,11.3,0,5,3.3,0,0,,
CUST-100017,2024-04-15,Europe,Technology,Medium (51-500),Pro,Annual,189.28,12.8,26,7,19,48.8,0,19.7,0,10,3.7,0,0,,
CUST-100018,2025-03-17,North America,Manufacturing,Small (1-50),Basic,Monthly,52.2,0.0,15,14,14,73.3,1,44.0,0,6,2.7,0,0,,
CUST-100019,2026-05-28,APAC,Manufacturing,Medium (51-500),Basic,Monthly,97.87,0.0,1,6,26,21.6,3,53.9,0,6,3.1,0,0,,
CUST-100020,2025-08-24,Europe,Education,Small (1-50),Pro,Annual,96.17,11.2,10,1,34,24.8,4,8.5,0,3,3.6,1,0,,
CUST-100021,2025-01-21,Europe,Manufacturing,Small (1-50),Basic,Monthly,54.58,10.0,17,17,25,54.0,1,15.8,0,9,3.6,3,0,,
CUST-100022,2025-09-11,LATAM,Media/Entertainment,Medium (51-500),Basic,Monthly,112.11,0.0,9,19,12,79.9,0,10.3,0,7,4.2,0,0,,
CUST-100023,2025-05-15,Europe,Financial Services,Small (1-50),Basic,Monthly,34.61,10.0,13,13,21,52.3,1,29.5,0,8,3.2,1,0,,
CUST-100024,2022-11-25,North America,Technology,Small (1-50),Pro,Monthly,131.32,0.0,43,10,15,69.3,0,3.1,0,10,4.8,3,0,,
CUST-100025,2026-04-12,LATAM,Healthcare,Small (1-50),Pro,Monthly,114.11,0.0,2,8,18,53.1,2,7.5,0,5,4.1,0,0,,
CUST-100026,2025-08-20,APAC,Retail/E-commerce,Medium (51-500),Basic,Monthly,72.56,5.0,10,12,23,57.0,1,14.0,0,8,4.3,0,0,,
CUST-100027,2026-06-13,LATAM,Retail/E-commerce,Medium (51-500),Pro,Monthly,391.89,0.0,0,6,26,22.0,2,4.8,0,5,3.8,0,0,,
CUST-100028,2025-09-09,North America,Education,Small (1-50),Pro,Monthly,157.99,0.0,9,8,18,56.4,3,3.6,1,5,3.2,1,0,,
CUST-100029,2026-03-10,LATAM,Technology,Small (1-50),Basic,Annual,52.31,19.0,3,9,21,49.9,4,5.8,0,5,3.5,2,0,,
CUST-100030,2026-02-03,Europe,Technology,Small (1-50),Pro,Monthly,136.35,10.0,4,2,29,20.2,2,12.1,2,6,3.4,1,0,,
CUST-100031,2026-02-01,Europe,Healthcare,Small (1-50),Basic,Annual,46.52,10.1,4,0,30,6.5,1,13.6,0,6,4.4,0,0,,
CUST-100032,2024-08-08,North America,Technology,Medium (51-500),Basic,Monthly,101.9,5.0,22,19,19,81.8,1,50.9,0,10,4.3,2,0,,
CUST-100033,2025-07-10,North America,Retail/E-commerce,Small (1-50),Enterprise,Monthly,508.37,10.0,11,6,19,52.3,1,16.9,0,6,3.4,1,0,,
CUST-100034,2025-11-23,North America,Retail/E-commerce,Medium (51-500),Enterprise,Monthly,1110.89,0.0,7,10,23,44.4,5,10.9,0,4,2.8,1,0,,
CUST-100035,2026-06-18,North America,Healthcare,Large (500+),Pro,Annual,490.18,13.6,0,11,29,36.7,2,46.3,0,7,3.4,0,0,,
CUST-100036,2024-02-19,North America,Technology,Small (1-50),Basic,Monthly,34.51,0.0,28,20,18,53.5,1,24.8,0,10,3.8,1,0,,
CUST-100037,2026-06-13,North America,Education,Small (1-50),Basic,Monthly,55.51,0.0,0,4,29,33.9,1,46.7,0,10,2.6,0,0,,
CUST-100038,2024-04-21,LATAM,Media/Entertainment,Small (1-50),Pro,Monthly,162.39,5.0,26,12,22,39.4,1,18.2,0,8,3.5,2,0,,
CUST-100039,2024-10-30,Europe,Manufacturing,Medium (51-500),Basic,Monthly,87.34,0.0,20,17,15,68.7,2,53.2,0,8,3.4,1,0,,
CUST-100040,2026-04-14,Europe,Manufacturing,Small (1-50),Basic,Monthly,59.97,5.0,2,7,31,28.1,3,8.5,1,6,3.7,0,0,,
CUST-100041,2025-03-08,Europe,Media/Entertainment,Small (1-50),Pro,Monthly,145.56,0.0,15,17,16,60.9,2,25.2,0,10,3.9,2,0,,
CUST-100042,2026-06-11,Europe,Retail/E-commerce,Small (1-50),Basic,Monthly,42.18,0.0,0,3,33,8.3,4,18.3,1,7,2.8,0,1,2026-06-17,Low Product Usage
CUST-100043,2026-02-06,North America,Education,Small (1-50),Enterprise,Annual,469.61,11.8,4,12,20,49.6,3,16.1,0,9,4.2,1,0,,
CUST-100044,2026-02-19,Europe,Financial Services,Large (500+),Basic,Monthly,134.41,0.0,4,11,27,43.3,2,9.2,1,6,2.6,1,0,,
CUST-100045,2022-07-21,Europe,Technology,Small (1-50),Pro,Annual,122.56,18.1,47,9,12,91.8,1,22.7,0,9,3.9,3,0,,
CUST-100046,2025-05-22,North America,Education,Small (1-50),Basic,Monthly,55.7,0.0,13,12,19,51.4,1,13.0,1,8,4.4,0,0,,
CUST-100047,2026-06-18,North America,Technology,Medium (51-500),Pro,Monthly,261.23,0.0,0,8,34,24.1,1,3.6,1,6,3.7,0,0,,
CUST-100048,2026-04-17,North America,Technology,Medium (51-500),Pro,Monthly,273.08,0.0,2,9,18,69.0,0,16.4,0,5,4.1,0,0,,
CUST-100049,2026-03-20,Europe,Healthcare,Medium (51-500),Basic,Monthly,109.55,0.0,3,2,28,10.7,1,3.9,1,5,4.3,0,0,,
CUST-100050,2024-03-20,North America,Retail/E-commerce,Small (1-50),Enterprise,Monthly,539.31,0.0,27,17,15,68.4,3,61.0,0,7,3.1,1,0,,
